blub_idfs;id;year;date_from;date_to;championship;city;country;event_date;event_time_from;event_time_to;event_title
518;3194;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;12.06.05;16:00:00;16:00:00;Final 10m Air Rifle Men
520;3357;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;15.06.05;14:00:00;14:00:00;Final 10m Air Pistol Women
520;3359;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;14:00:00;14:00:00;Final 50m Rifle Prone Men
520;3361;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;15:00:00;15:00:00;Final 50m Rifle 3 Positions Women 
520;3364;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;16:00:00;16:00:00;Final 10m Air Pistol Men
520;3367;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;17.06.05;16:30:00;16:30:00;Final 25m Pistol Women 
520;3370;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;17.06.05;14:30:00;14:30:00;Final 10m Air Rifle Men
520;3378;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;18.06.05;14:30:00;14:30:00;Final 10m Air Rifle Women
520;3380;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;14:30:00;14:30:00;Final 50m Rifle 3 Positions Men ;
520;3382;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;13:30:00;13:30:00;Final 50m Pistol Men;
520;3384;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;16:30:00;16:30:00;Final 25m Rapid Fire Pistol Men ;
521;3066;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;18.05.05;14:30:00;;Final Double Trap Men;
521;3079;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;22.05.05;12:30:00;13:00:00;Final Skeet Men;
521;3080;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;22.05.05;13:30:00;14:00:00;Final Trap Men;
521;3081;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;21.05.05;16:00:00;16:30:00;Final Skeet Women;
521;3082;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;21.05.05;17:00:00;17:30:00;Final Trap Women;
522;3093;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;09.08.05;;;Final Trap Women; 
522;3094;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;12.08.05;;;Final Skeet Women; 
522;3096;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;13.08.05;;;Final Skeet Men;
522;3098;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;10.08.05;;;Final Trap Men ;
522;3103;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;07.08.05;;;Final Double Trap Men;
523;3419;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;13:30:00;13:30:00;Final 50m Pistol Men;
523;3420;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;14:30:00;14:30:00;Final 50m Rifle 3 Positions Men; 
523;3421;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;15:30:00;15:30:00;Final 50m Rifle 3 Positions Women;
523;3422;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;12:00:00;12:00:00;Final 50m Rifle Prone Men
523;3423;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;14:30:00;14:30:00;Final 25m Pistol Women
523;3424;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;15:30:00;15:30:00;Final 25m Rapid Fire Pistol Men
523;3425;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;10:30:00;10:30:00;Final 10m Air Pistol Women
523;3426;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;11:30:00;11:30:00;Final 10m Air Rifle Women
523;3427;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;12:30:00;12:30:00;Final 10m Air Rifle Men
523;3428;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;13:30:00;13:30:00;Final 10m Air Pistol Men
